sample_id,species,path,lambda_graph
PBMC_SUBJ_A,human,/home/gmcelfresh/GoodWorkflows/template/gw/data/pbmc3k_nmf_subjA.rds,moderate
PBMC_SUBJ_B,human,/home/gmcelfresh/GoodWorkflows/template/gw/data/pbmc3k_nmf_subjB.rds,moderate
